"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"BGJRXIM4","journalArticle","2018","Lee, Kyoung Min; Im, Yunhyeok; Huh, Jun Ho; Han, Tae Hee","Adaptive thermal property control technique for holistic thermal management of mobile devices","IEICE Electronics Express","","1349-2543","10.1587/elex.15.20180187","https://www.jstage.jst.go.jp/article/elex/15/10/15_15.20180187/_article","From the perspective of user experience and safety when using mobile devices, skin (outer surface) temperature-aware thermal management, along with the application processor die-junction temperature, is crucial. Traditional thermal management techniques have ignored the combined eﬀect of the junction and skin temperatures, resulting in unnecessary performance degradation due to excessive thermal throttling. We propose a novel thermal management method for mobile devices, by incorporating an adaptive thermal property control (ATPC) technique. The ATPC technique is designed to adapt the thermal properties between the junction and skin according to their thermal margins. Intensive simulation results show that the ATPC technique prolongs the maximum performance duration of the mobile device up to 34 min in the nominal application processor power consumption range of 2.9–4.6 W. In other words, the technique provides a performance gain of approximately 7% by preventing false early thermal throttling.","2018","2020-11-04 00:32:51","2020-11-04 00:32:51","2020-11-04 00:32:51","20180187-20180187","","10","15","","IEICE Electron. Express","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CUBC8SU4","journalArticle","2017","Garimella, S. V.; Persoons, T.; Weibel, J. A.; Gektin, V.","Electronics Thermal Management in Information and Communications Technologies: Challenges and Future Directions","IEEE Transactions on Components, Packaging and Manufacturing Technology","","2156-3985","10.1109/TCPMT.2016.2603600","","This paper reviews thermal management challenges encountered in a wide range of electronics cooling applications from large-scale (data center and telecommunication) to small-scale systems (personal, portable/wearable, and automotive). This paper identifies drivers for progress and immediate and future challenges based on discussions at the 3rd Workshop on Thermal Management in Telecommunication Systems and Data Centers held in Redwood City, CA, USA, on November 4-5, 2015. Participants in this workshop represented industry and academia, with backgrounds ranging from data center thermal management and energy efficiency to high-performance computing and liquid cooling, thermal management in wearable and mobile devices, and acoustic noise management. By considering a wide range of electronics cooling applications with different lengths and time scales, this paper identifies both common themes and diverging views in the thermal management community.","2017-08","2020-11-04 01:28:03","2020-11-04 01:28:03","","1191-1205","","8","7","","","Electronics Thermal Management in Information and Communications Technologies","","","","","","","","","","","","IEEE Xplore","","Conference Name: IEEE Transactions on Components, Packaging and Manufacturing Technology","","C:\Users\bonga\OneDrive\Zliterature\ME511\2017_Garimella et al_Electronics Thermal Management in Information and Communications Technologies.pdf; C:\Users\bonga\Zotero\storage\X23J6NMQ\7579186.html","","","cooling; liquid cooling; thermal management (packaging); acoustic noise; acoustic noise management; computer centres; Conferences; Consumer electronics; data center thermal management; Electronic packaging thermal management; electronics cooling applications; electronics thermal management; energy conservation; energy efficiency; Energy management; high-performance computing; information and communication networks; information and communications technologies; Liquid cooling; mobile devices; parallel processing; thermal management of electronics; Vehicles; wearable computers; wearable devices","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K38FLWNH","journalArticle","2017","Zhang, Han; Hedge, Alan; Cosley, Daniel","Thermal sensation, rate of temperature change, and the heat dissipation design for tablet computers","Applied Ergonomics","","00036870","10.1016/j.apergo.2017.03.006","https://linkinghub.elsevier.com/retrieve/pii/S0003687017300650","Past research has shown that the rate of change of skin surface temperature can affect thermal sensation. This study investigated users’ thermal responses to a tablet heating surface with different heat pads and different temperature change rates. The test conditions included: A. keeping the surface at a constant 42  C, B. increasing the surface temperature from 38  C to 42  C at a rate of 0.02  C/s in progressive intervals, C. increasing the temperature at 0.15  C/s in progressive intervals, and D. Heating two left and right side pads alternately from 38  C to 42  C at 0.15  C/s in progressive intervals. Overall results showed the lowest temperature change rate of 0.02  C/s was most preferred in terms of thermal comfort. The ﬁndings suggest a potential to improve user thermal experience by dissipating tablet computer heat at a lower temperature change rate, or by alternating the dissipation areas.","2017-07","2020-11-04 01:38:53","2020-11-04 01:38:53","2020-11-04 01:38:53","197-203","","","62","","Applied Ergonomics","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\bonga\OneDrive\Zliterature\ME511\2017_Applied Ergonomics_Zhang et al_Thermal sensation, rate of temperature change, and the heat dissipation design.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3B3T6QTF","journalArticle","2013","Zhang, Teng; Luo, Tengfei","High-Contrast, Reversible Thermal Conductivity Regulation Utilizing the Phase Transition of Polyethylene Nanofibers","ACS Nano","","1936-0851, 1936-086X","10.1021/nn401714e","https://pubs.acs.org/doi/10.1021/nn401714e","Reversible thermal conductivity regulation at the nanoscale is of great interest to a wide range of applications such as thermal management, phononics, sensors, and energy devices. Through a series of large-scale molecular dynamics simulations, we demonstrate a thermal conductivity regulation utilizing the phase transition of polyethylene nanoﬁbers, enabling a thermal conductivity tuning factor of as high as 12, exceeding all previously reported values. The thermal conductivity change roots from the segmental rotations along the polymer chains, which introduce alongchain morphology disorder that signiﬁcantly interrupts phonon transport along the molecular chains. This phase transition, which can be regulated by temperature, strain, or their combinations, is found to be fully reversible in the polyethylene nanoﬁbers and can happen at a narrow temperature window. The phase change temperature can be further tuned by engineering the diameters of the nanoﬁbers, making such a thermal conductivity regulation scheme adaptable to diﬀerent application needs. The ﬁndings can stimulate signiﬁcant research interest in nanoscale heat transfer control.","2013-09-24","2020-11-04 01:42:12","2020-11-04 01:42:12","2020-11-04 01:42:12","7592-7600","","9","7","","ACS Nano","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\bonga\OneDrive\Zliterature\ME511\2013_ACS Nano_Zhang_Luo_High-Contrast, Reversible Thermal Conductivity Regulation Utilizing the Phase2.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5RRWIVLI","journalArticle","2011","Zheng, Ruiting; Gao, Jinwei; Wang, Jianjian; Chen, Gang","Reversible temperature regulation of electrical and thermal conductivity using liquid–solid phase transitions","Nature Communications","","2041-1723","10.1038/ncomms1288","http://www.nature.com/articles/ncomms1288","","2011-09","2020-11-04 01:44:47","2020-11-04 01:44:47","2020-11-04 01:44:47","289","","1","2","","Nat Commun","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\bonga\OneDrive\Zliterature\ME511\2011_Nat Commun_Zheng et al_Reversible temperature regulation of electrical and thermal conductivity using.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IRHDGFTR","conferencePaper","2004","Beasley, Matthew A.; Firebaugh, Samara L.; Edwards, Richard L.; Keeney, Allen C.; Osiander, Robert","MEMS thermal switch for spacecraft thermal control","","","","10.1117/12.530906","http://proceedings.spiedigitallibrary.org/proceeding.aspx?doi=10.1117/12.530906","Small satellites with their low thermal capacitance are vulnerable to rapid temperature fluctuations. Therefore, thermal control becomes important, but the limitations on mass and electrical power require new approaches. Possible solutions to actively vary the heat rejection of the satellite in response to variations in the thermal load and environmental condition are the use of a variable emissivity coating (VEC), micro-machined shutters and louvers, or thermal switches. An elegant way to radiate heat is to switch the thermal contact between the emitting surface and the radiator electrostatically. This paper describes the design and fabrication of an active radiator for satellite thermal control based on such a micro electromechanical (MEMS) thermal switch. The switch operates by electrostatically moving a high emissivity surface layer in and out of contact with the radiator. The electromechanical model and material considerations for the thermal design of the MEMS device are discussed. The design utilizes a highly thermal conductive gold membrane supported by low-conductance SU-8 posts. The fabrication process is described. Measured actuation voltages were consistent with the electrostatic model, ranging from 8 to 25 volts.","2004-01-24","2020-11-04 01:46:31","2020-11-04 01:46:31","2020-11-04 01:46:31","98","","","","","","","","","","","","San Jose, CA","en","","","","","DOI.org (Crossref)","","","","C:\Users\bonga\OneDrive\Zliterature\ME511\2004_Beasley et al_MEMS thermal switch for spacecraft thermal control.pdf","","","","Janson, Siegfried W.; Henning, Albert K.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Micromachining and Microfabrication","","","","","","","","","","","","","","",""
"QITZAT3J","conferencePaper","2020","Chiou, H.-W.; Lee, Y.-M.; Hsu, S.-C.; Chen, G.-J.; Pan, C.-W.; Chen, T.-Y.","Temperature-to-Power Mapping for Smartphones","2020 19th IEEE Intersociety Conference on Thermal and Thermomechanical Phenomena in Electronic Systems (ITherm)","","","10.1109/ITherm45881.2020.9190487","","When power consumption in smartphones becomes much higher, several significant impacts occur due to its small form factor, such as performance degradation and worse user experience. Thus, power estimation/mapping is essential and useful for dynamic power management and power model validation for smartphones. In this work, first, we build the power-to-temperature (P-to-T) equations for thermal sensors from the existing system-level thermal model and calibrate them using the least squares fitting. Furthermore, we develop an efficient method for the temperature-to-power (T-to-P) mapping, which obtains the power consumption of components by utilizing temperatures of thermal sensors. Experiments show that this work can estimate power profile efficiently for both steady-state and transient results.","2020-07","2020-11-27 02:24:32","2020-11-27 02:24:33","","783-789","","","","","","","","","","","","","","","","","","IEEE Xplore","","ISSN: 2577-0799","","C:\Users\bonga\OneDrive\Zliterature\ME511\2020_Chiou et al_Temperature-to-Power Mapping for Smartphones.pdf; C:\Users\bonga\Zotero\storage\FVIYG3BN\9190487.html","","","calibration; dynamic power management; least squares approximations; least squares fitting; Mathematical model; power consumption; power mapping; power model validation; power system management; power-to-temperature; smart phones; Smart phones; smartphone; smartphones; Steady-state; temperature calibration; Temperature sensors; temperature-to-power mapping; thermal sensors; Transient analysis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2020 19th IEEE Intersociety Conference on Thermal and Thermomechanical Phenomena in Electronic Systems (ITherm)","","","","","","","","","","","","","","",""
"NNWZAVXM","conferencePaper","2019","Chiou, Hong-Wen; Lee, Yu-Min; Shiau, Shin-Yu; Pan, Chi-Wen; Chen, Tai-Yu","Phone-nomenon: a system-level thermal simulator for handheld devices","Proceedings of the 24th Asia and South Pacific Design Automation Conference","978-1-4503-6007-4","","10.1145/3287624.3287632","https://dl.acm.org/doi/10.1145/3287624.3287632","This work presents a system-level thermal simulator, Phone-nomenon, to predict the thermal behavior of smartphone. First, we study the nonlinearity of internal and external heat transfer mechanisms and propose a compact thermal model. After that, we develop an iterative framework to handle the nonlinearity. Compared with a commercial tool, ANSYS Icepak, Phonenomenon can achieve two and three orders of magnitude speedup with 3.58% maximum error and 1.72°C diﬀerence for steady-state and transient-state simulations, respectively. Meanwhile, Phone-nomenon also ﬁts the measured data of a built thermal test vehicle pretty well.","2019-01-21","2020-11-27 02:33:30","2020-11-27 02:33:30","2020-11-27 02:33:30","538-543","","","","","","Phone-nomenon","","","","","ACM","Tokyo Japan","en","","","","","DOI.org (Crossref)","","","","C:\Users\bonga\OneDrive\Zliterature\ME511\2019_Chiou et al_Phone-nomenon.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ASPDAC '19: 24th Asia and South Pacific Design Automation Conference","","","","","","","","","","","","","","",""
"PNQXJ3RD","conferencePaper","2020","Warren, M.; Norley, J.; Allen, J.; Taylor, J.; Keen, L.","Increased System Performance and Reduced Surface Touch (Skin) Temperature in Mobile Electronics Utilizing Composites of Graphite with Ultra-High Spreading Capacity and Insulation with Ultra-Low Thermal Conductivity","2020 36th Semiconductor Thermal Measurement, Modeling Management Symposium (SEMI-THERM)","","","10.23919/SEMI-THERM50369.2020.9142840","","Graphite foils with ultra-high spreading capacity and insulation sheets with ultra-low thermal conductivity were combined in a thermally stressed Google Pixel 3XL to reduce steady-state surface touch (skin) temperatures (TS) by up to 3.2 °C with <; 1 °C increase in max junction temperature (TJ) as compared to single-component thermal solutions of graphite, insulation, and air. An axisymmetric conduction model was simulated in COMSOL to determine trends in surface temperature reductions of five unique thermal solutions of comparable thickness ( 350μm). Four of these solutions were fabricated, tested and validated experimentally in Google Pixel 3XL thermal stress testing. The composite yielding the greatest Ts reduction was utilized to demonstrate an increase in steady-state system performance while maintaining a surface temperature suitable for user comfort and safety. The steady-state 3DMark - Slingshot Extreme benchmark score increased from 3401 to 3823 resulting in a 12.4% increase in steady-state system performance. The enhanced device performance was linked with material properties by means of steady-state heat flow and thickness testing for through-plane thermal conductivity of insulation, and thermal diffusivity testing for in-plane thermal conductivity of graphite. In-plane conductivity of graphite was validated experimentally in a steady-state heat spreading test where 100 μm foils of high-performance graphite measured 30% higher spreading capacity than 100 μm foils of synthetic and natural graphite.","2020-03","2020-11-27 02:38:48","2020-11-27 02:38:48","","82-90","","","","","","","","","","","","","","","","","","IEEE Xplore","","","","C:\Users\bonga\OneDrive\Zliterature\ME511\2020_Warren et al_Increased System Performance and Reduced Surface Touch (Skin) Temperature in.pdf; C:\Users\bonga\Zotero\storage\SV3HE7WW\9142840.html","","","Thermal resistance; 3DMark - Slingshot Extreme; ambient temperature; axisymmetric conduction model; benchmark score; composite; composite materials; Conductivity; electronics packaging; Google Pixel 3XL (Pixel); graphite; Graphite; graphite foils; heat spreader; heat transfer; Heating systems; high-performance graphite; hot spot; in-plane thermal conductivity; insulation; Insulation; insulation sheets; junction temperature; maximum junction temperature; mobile electronics; mobile handsets; natural graphite; reduced surface touch temperature; single-component thermal solutions; size 100.0 mum; skin temperatures; steady-state; steady-state 3DMark-Slingshot extreme benchmark score; steady-state heat flow; steady-state surface touch temperatures; surface temperature reductions; surface touch (skin) temperature; system on chip (SoC); system performance; Temperature measurement; thermal analysis; thermal conductivity; Thermal conductivity; thermal diffusion; thermal diffusivity; thermal diffusivity testin; thermal diffusivity testing; thermal insulation; thermal stress testing; thermal stresses; thermally stressed Google Pixel 3XL; thickness; thickness testing; through-plane thermal conductivity; ultra-high spreading capacity; ultra-low thermal conductivity; ultrahigh spreading capacity; ultralow thermal conductivity; user comfort; user safety","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2020 36th Semiconductor Thermal Measurement, Modeling Management Symposium (SEMI-THERM)","","","","","","","","","","","","","","",""
"7DZ8BREM","conferencePaper","2014","Xie, Qing; Dousti, Mohammad Javad; Pedram, Massoud","Therminator: a thermal simulator for smartphones producing accurate chip and skin temperature maps","Proceedings of the 2014 international symposium on Low power electronics and design - ISLPED '14","978-1-4503-2975-0","","10.1145/2627369.2627641","http://dl.acm.org/citation.cfm?doid=2627369.2627641","Maintaining safe chip and device skin temperatures in small form-factor mobile devices (such as smartphones and tablets) while continuing to add new functionalities and provide higher performance has emerged as a key challenge. This paper presents Therminator, an early stage, fast, full-device thermal analyzer, which generates accurate steady-state temperature maps of the entire smartphone starting from the Application Processor and other key device components, extending to the skin of the device itself. The thermal analysis is sensitive to detailed device specifications (including its material composition and 3-D layout) as well as different use cases (each case specifying the set of active device components and their activity levels). Therminator considers all major components within the device, builds a corresponding compact thermal model for each component and the whole device, and produces their steady-state temperature maps. Temperature results obtained by using Therminator have been validated against a commercial computational fluid dynamics-based tool, i.e., Autodesk Simulation CFD, and thermocouple measurements on a Qualcomm Mobile Developer Platform. A case study on a Samsung Galaxy S4 using Therminator is provided to relate the device performance to the skin temperature and investigate the thermal path design.","2014","2020-11-27 02:58:20","2020-11-27 02:58:20","2020-11-27 02:58:20","117-122","","","","","","Therminator","","","","","ACM Press","La Jolla, California, USA","en","","","","","DOI.org (Crossref)","","","","C:\Users\bonga\OneDrive\Zliterature\ME511\2014_Xie et al_Therminator2.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","the 2014 international symposium","","","","","","","","","","","","","","",""
"3BSQC9BR","conferencePaper","2014","Xie, Qing; Dousti, Mohammad Javad; Pedram, Massoud","Therminator: a thermal simulator for smartphones producing accurate chip and skin temperature maps","Proceedings of the 2014 international symposium on Low power electronics and design - ISLPED '14","978-1-4503-2975-0","","10.1145/2627369.2627641","http://dl.acm.org/citation.cfm?doid=2627369.2627641","Maintaining safe chip and device skin temperatures in small form-factor mobile devices (such as smartphones and tablets) while continuing to add new functionalities and provide higher performance has emerged as a key challenge. This paper presents Therminator, an early stage, fast, full-device thermal analyzer, which generates accurate steady-state temperature maps of the entire smartphone starting from the Application Processor and other key device components, extending to the skin of the device itself. The thermal analysis is sensitive to detailed device specifications (including its material composition and 3-D layout) as well as different use cases (each case specifying the set of active device components and their activity levels). Therminator considers all major components within the device, builds a corresponding compact thermal model for each component and the whole device, and produces their steady-state temperature maps. Temperature results obtained by using Therminator have been validated against a commercial computational fluid dynamics-based tool, i.e., Autodesk Simulation CFD, and thermocouple measurements on a Qualcomm Mobile Developer Platform. A case study on a Samsung Galaxy S4 using Therminator is provided to relate the device performance to the skin temperature and investigate the thermal path design.","2014","2020-11-27 02:58:23","2020-11-27 02:58:23","2020-11-27 02:58:23","117-122","","","","","","Therminator","","","","","ACM Press","La Jolla, California, USA","en","","","","","DOI.org (Crossref)","","","","C:\Users\bonga\OneDrive\Zliterature\ME511\2014_Xie et al_Therminator.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","the 2014 international symposium","","","","","","","","","","","","","","",""
"5VN8DPZD","journalArticle","2007","Cho, J.; Wiser, T.; Richards, C.; Bahr, D.; Richards, R.","Fabrication and characterization of a thermal switch","Sensors and Actuators A: Physical","","09244247","10.1016/j.sna.2006.03.033","https://linkinghub.elsevier.com/retrieve/pii/S0924424706002433","The development of a thermal switch based on arrays of liquid–metal micro-droplets is presented. Prototype thermal switches are assembled from a silicon substrate on which is deposited an array of 1600 30-␮m liquid–metal micro-droplets. The liquid–metal micro-droplet array makes and breaks contact with a second bare silicon substrate. A gap between the two silicon substrates is ﬁlled with either air at 760 Torr, air at of 0.5 Torr or xenon at 760 Torr. Heat transfer and thermal resistance across the thermal switches are measured for “on” (make contact) and “off” (break contact) conditions using guard-heated calorimetry. The ﬁgure of merit for a thermal switch, the ratio of “off” state thermal resistance over “on” state thermal resistance, Roff/Ron, is 129 ± 43 for a xenon-ﬁlled thermal switch that opens 100 ␮m and 60 ± 17 for an 0.5 Torr air-ﬁlled thermal switch that opens 25 ␮m. These thermal resistance ratios are shown to be markedly higher than values of Roff/Ron for a thermal switch based on contact between polished silicon surfaces. Transient temperature measurements for the liquid–metal micro-droplet switches indicate thermal switching times of less than 100 ms. Switch lifetimes are found to exceed one-million cycles.","2007-01","2020-12-01 16:36:48","2020-12-01 16:36:48","2020-12-01 16:36:48","55-63","","1","133","","Sensors and Actuators A: Physical","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\bonga\OneDrive\Zliterature\ME511\2007_Sensors and Actuators A Physical_Cho et al_Fabrication and characterization of a thermal switch.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3E67RV32","journalArticle","2013","Zhang, Teng; Luo, Tengfei","High-Contrast, Reversible Thermal Conductivity Regulation Utilizing the Phase Transition of Polyethylene Nanofibers","ACS Nano","","1936-0851, 1936-086X","10.1021/nn401714e","https://pubs.acs.org/doi/10.1021/nn401714e","Reversible thermal conductivity regulation at the nanoscale is of great interest to a wide range of applications such as thermal management, phononics, sensors, and energy devices. Through a series of large-scale molecular dynamics simulations, we demonstrate a thermal conductivity regulation utilizing the phase transition of polyethylene nanoﬁbers, enabling a thermal conductivity tuning factor of as high as 12, exceeding all previously reported values. The thermal conductivity change roots from the segmental rotations along the polymer chains, which introduce alongchain morphology disorder that signiﬁcantly interrupts phonon transport along the molecular chains. This phase transition, which can be regulated by temperature, strain, or their combinations, is found to be fully reversible in the polyethylene nanoﬁbers and can happen at a narrow temperature window. The phase change temperature can be further tuned by engineering the diameters of the nanoﬁbers, making such a thermal conductivity regulation scheme adaptable to diﬀerent application needs. The ﬁndings can stimulate signiﬁcant research interest in nanoscale heat transfer control.","2013-09-24","2020-12-01 16:42:51","2020-12-01 16:42:51","2020-12-01 16:42:51","7592-7600","","9","7","","ACS Nano","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\bonga\OneDrive\Zliterature\ME511\2013_ACS Nano_Zhang_Luo_High-Contrast, Reversible Thermal Conductivity Regulation Utilizing the Phase.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KMA2JD45","conferencePaper","2012","Gurrum, Siva P.; Edwards, Darvin R.; Marchand-Golder, Thomas; Akiyama, Jotaro; Yokoya, Satoshi; Drouard, Jean-Francois; Dahan, Franck","Generic thermal analysis for phone and tablet systems","2012 IEEE 62nd Electronic Components and Technology Conference","978-1-4673-1965-2 978-1-4673-1966-9 978-1-4673-1964-5","","10.1109/ECTC.2012.6249032","http://ieeexplore.ieee.org/document/6249032/","Thermal management of handheld systems such as smart phones and tablet systems is becoming increasingly challenging due to increasing power dissipation. These mobile systems pose a significant challenge for implementation of traditional cooling schemes such as heat sinks and fans due to form factor limitations. Instead, new advanced cooling schemes have been developed. This article presents thermal model development from an analysis of today’s smart phone thermal management schemes and application of these techniques to a tablet system. Application processor temperature rise and tablet skin temperature are reported for thermal enhancement simulations using this tablet system. Some guiding principles are provided for efficient thermal design of handheld systems.","2012-05","2020-12-01 20:24:30","2020-12-01 20:24:30","2020-12-01 20:24:30","1488-1492","","","","","","","","","","","IEEE","San Diego, CA, USA","en","","","","","DOI.org (Crossref)","","","","C:\Users\bonga\OneDrive\Zliterature\ME511\2012_Gurrum et al_Generic thermal analysis for phone and tablet systems.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2012 IEEE 62nd Electronic Components and Technology Conference (ECTC)","","","","","","","","","","","","","","",""
"SZPMVKAI","conferencePaper","2012","Gurrum, Siva P.; Edwards, Darvin R.; Marchand-Golder, Thomas; Akiyama, Jotaro; Yokoya, Satoshi; Drouard, Jean-Francois; Dahan, Franck","Generic thermal analysis for phone and tablet systems","2012 IEEE 62nd Electronic Components and Technology Conference","978-1-4673-1965-2 978-1-4673-1966-9 978-1-4673-1964-5","","10.1109/ECTC.2012.6249032","http://ieeexplore.ieee.org/document/6249032/","Thermal management of handheld systems such as smart phones and tablet systems is becoming increasingly challenging due to increasing power dissipation. These mobile systems pose a significant challenge for implementation of traditional cooling schemes such as heat sinks and fans due to form factor limitations. Instead, new advanced cooling schemes have been developed. This article presents thermal model development from an analysis of today’s smart phone thermal management schemes and application of these techniques to a tablet system. Application processor temperature rise and tablet skin temperature are reported for thermal enhancement simulations using this tablet system. Some guiding principles are provided for efficient thermal design of handheld systems.","2012-05","2020-12-08 23:15:02","2020-12-08 23:15:03","2020-12-08 23:15:02","1488-1492","","","","","","","","","","","IEEE","San Diego, CA, USA","en","","","","","DOI.org (Crossref)","","","","C:\Users\bonga\OneDrive\Zliterature\ME511\2012_Gurrum et al_Generic thermal analysis for phone and tablet systems2.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2012 IEEE 62nd Electronic Components and Technology Conference (ECTC)","","","","","","","","","","","","","","",""
"NYU56NL6","journalArticle","2000","Breuer, M; Bernsdorf, J; Zeiser, T; Durst, F","Accurate computations of the laminar ¯ow past a square cylinder based on two dierent methods: lattice-Boltzmann and ®nite-volume","","","","","","The con®ned ¯ow around a cylinder with square cross-section mounted inside a plane channel (blockage ratio B  1a8) was investigated in detail by two entirely dierent numerical techniques, namely a lattice-Boltzmann automata (LBA) and a ®nitevolume method (FVM). In order to restrict the approach to 2D computations, the largest Reynolds number chosen was Re  300 based on the maximum in¯ow velocity and the chord length of the square cylinder. The LBA was built up on the D2Q9 model and the single relaxation time method called the lattice-BGK method. The ®nite-volume code was based on an incompressible Navier± Stokes solver for arbitrary non-orthogonal, body-®tted grids. Both numerical methods are of second-order accuracy in space and time. Accurate computations were carried out on grids with dierent resolutions. The results of both methods were evaluated and compared in detail. Both velocity pro®les and integral parameters such as drag coecient, recirculation length and Strouhal number were investigated. Excellent agreement between the LBA and FVM computations was found. Ó 2000 Elsevier Science Inc. All rights reserved.","2000","2020-12-11 01:52:08","2020-12-11 01:52:09","","11","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\bonga\OneDrive\Zliterature\ME511\ME614\2000_Breuer et al_Accurate computations of the laminar ¯ow past a square cylinder based on two.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MA3JK9G2","bookSection","2016","Kundu, Pijush K.; Cohen, Ira M.; Dowling, David R.","Boundary Layers and Related Topics","Fluid Mechanics","978-0-12-405935-1","","","https://linkinghub.elsevier.com/retrieve/pii/B9780124059351000101","","2016","2020-12-11 02:25:09","2020-12-11 02:25:09","2020-12-11 02:25:09","469-532","","","","","","","","","","","Elsevier","","en","","","","","DOI.org (Crossref)","","DOI: 10.1016/B978-0-12-405935-1.00010-1","","C:\Users\bonga\OneDrive\Zliterature\ME511\ME614\2016_Kundu et al_Boundary Layers and Related Topics.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N76MV2TL","bookSection","2016","Kundu, Pijush K.; Cohen, Ira M.; Dowling, David R.","Boundary Layers and Related Topics","Fluid Mechanics","978-0-12-405935-1","","","https://linkinghub.elsevier.com/retrieve/pii/B9780124059351000101","","2016","2020-12-11 02:25:10","2020-12-11 02:25:10","2020-12-11 02:25:10","469-532","","","","","","","","","","","Elsevier","","en","","","","","DOI.org (Crossref)","","DOI: 10.1016/B978-0-12-405935-1.00010-1","","C:\Users\bonga\OneDrive\Zliterature\ME511\ME614\2016_Kundu et al_Boundary Layers and Related Topics2.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
